# Provided by Libamtrack
# Generated: 17/8/2026 @ 19:58:59
# Radial dose distribution
"r_m_x","r_m_y"
8.451366330685655e-7,0.7352678127047538
8.588828559547207e-7,0.7119296522869586
8.728526623849352e-7,0.6893321285448947
8.8704968896554e-7,0.667451744010796
9.014776314525931e-7,0.6462657463848684
9.161402457139552e-7,0.6257521049188112
9.310413487070132e-7,0.6058894875471103
9.461848194723076e-7,0.5866572387424663
9.615746001433197e-7,0.5680353580724513
9.772146969726844e-7,0.5500044794352238
9.931091813750937e-7,0.5325458509528249
0.000001009262190987164,0.515641315501259
0.0000010256779307445404,0.499273291857216
0.0000010423606739765226,0.4834247564419313
0.0000010593147635184935,0.46807922564329313
0.0000010765446128424414,0.45322073869790575
0.000001094054707205871,0.4388338411153897
0.0000011118496048194017,0.424903568627767
0.0000011299339380333558,0.4114154316473147
0.0000011483124145436474,0.39835540021679794
0.000001166989818617286,0.38570988943650164
0.0000011859710123378114,0.37346574535297317
0.0000012052609368709867,0.3616102312948595
0.0000012248646137510785,0.3501310146416937
0.0000012447871461880564,0.3390161540119255
0.0000012650337203960564,0.32825408685692253
0.0000012856096069434517,0.31783361744809596
0.0000013065201621248802,0.3077439052447035
0.000001327770829355592,0.2979744536302782
0.000001349367140588472,0.28851509900601313
0.0000013713147177541139,0.2793560002298005
0.0000013936192742243146,0.2704876283899808
0.000001416286616299374,0.26190075690320425
0.000001439322644719586,0.2535864519261407
0.0000014627333562013123,0.24553606307109999
0.0000014865248449980426,0.23774121441593843
0.0000015107033044868442,0.23019379579893204
0.0000015352750287806158,0.22288595438959094
0.0000015602464143665657,0.21581008652667472
0.0000015856239617713382,0.2089588298149469
0.0000016114142772532243,0.20232505547247295
0.0000016376240745218967,0.19590186092052392
0.0000016642601764861163,0.18968256260840308
0.000001691329517029865,0.18366068906575164
0.0000017188391428173672,0.17782997417512894
0.0000017467962151274707,0.1721843506578865
0.0000017752080117178648,0.1667179437665803
0.000001804081928719617,0.1614250651773768
0.0000018334254825625288,0.1563002070761155
0.0000018632463119318038,0.15133803643189353
0.000001893552179756543,0.14653338945222846
0.0000019243509752305843,0.14188126621404717
0.000001955650715866207,0.13737682546492816
0.000001987459549581246,0.1330153795892028
0.000002019785756820147,0.1287923897336902
0.000002052637752709525,0.12470346108800763
0.000002086024089248782,0.12074433831455664
0.000002119953457536355,0.116910901123442
0.000002154434690032173,0.11319915998772909
0.0000021894767628569163,0.10960525199459281
0.0000022250887981286697,0.10612543682804905
0.0000022612800663375847,0.10275609287909952
0.0000022980599887591636,0.09949371347925039
0.000002335438139906797,0.09633490325349417
0.0000023734242500241914,0.09327637458896758
0.0000024120282076183373,0.09031494421561845
0.000002451260062033676,0.0874475298953313
0.0000024911300260681324,0.08467114721607266
0.000002531648478631705,0.08198290648772652
0.00000257282596744829,0.07938000973639656
0.000002614673211801456,0.07685974779405291
0.0000026572011053248763,0.07441949748050035
0.000002700420718838151,0.07205671887474106
0.00000274434330322875,0.06976895267289729
0.000002788980292380833,0.06755381762994968
0.0000028343433061517094,0.06540900808263268
0.0000028804441533967044,0.06333229155091492
0.000002927294835043232,0.06132150641557137
0.0000029749075472148635,0.05937455966943508
0.000003023294684406209,0.057489424739992044
0.0000030724688427094435,0.05566413938105616
0.000003122442823093305,0.05389680363133429
0.000003173229634735434,0.052185577837759636
0.000003224842498408907,0.050528680741539406
0.0000032772948499238578,0.0489243876249282
0.000003330600343625072,0.04737102851680061
0.0000033847728559464747,0.04586698645515862
0.0000034398264890234276,0.044410695804767794
0.0000034957755743637864,0.04300064062817387
0.0000035526346765786625,0.04163535310840649
0.000003610418597173869,0.04031341202173093
0.0000036691423784030343,0.039033441258859866
0.0000037288213071833865,0.03779410839308885
0.0000037894709190752296,0.036594123293866056
0.000003851107002326144,0.03543223678435614
0.000003913745601980968,0.034307239341601875
0.00000397740302405863,0.03321795983793278
0.000004042095839796914,0.03216326432231202
0.000004107840889966264,0.031142054840354958
0.000004174655289253767,0.030153268291792094
0.000004242556430718419,0.029195875324189095
0.000004311561990318881,0.02826887926177323
0.000004381689931514858,0.027371315068252744
0.0000044529585099433335,0.026502248342550678
0.000004525386278170861,0.025660774346408857
0.000004598992090523144,0.024846017062851024
0.00000467379510799318,0.024057128284526084
0.000004749814803229233,0.0232932867309833
0.000004827070965603928,0.02255369719396179
0.000004905583706365808,0.021837589709805226
0.000004985373463874669,0.021144218758141306
0.000005066461008922056,0.020472862485992536
0.000005148867450138298,0.019822821956511496
0.00000523261423948748,0.019193420421559252
0.000005317723177851804,0.01858400261737034
0.000005404216420706766,0.017993934082571935
0.000005492116483888654,0.017422600497847645
0.000005581446249455845,0.01686940704655938
0.000005672228971645442,0.0163337777956622
0.000005764488282926793,0.0158151550962681
0.00000585824820015347,0.01531299900323541
0.0000059535331308153196,0.014826786713179949
0.0000060503678793921896,0.014356012020323548
0.00000614877765381101,0.013900184789613622
0.000006248788072007898,0.013458830446566036
0.000006350425168596988,0.013031489483300409
0.000006453715401647745,0.012617716980253995
0.000006558685659572495,0.012217082143076704
0.000006665363268125997,0.01182916785422542
0.000006773775997518853,0.011453570238791145
0.0000068839520696466226,0.011089898244107325
0.000006995920165436519,0.010737773232701997
0.0000071097094323136015,0.010396828588170228
0.000007225349491788403,0.010066709333556929
0.000007342870447167974,0.009747071761852886
0.000007462302891392344,0.009437583078219678
