time_s,f_t
3.57439769449158e-05,0.8200350010462578
3.6008747144507766e-05,0.8183881797577267
3.627351734409973e-05,0.816828385580669
3.6538287543691706e-05,0.8152016516662282
3.680305774328367e-05,0.813610818056142
3.706782794287564e-05,0.8120186776118253
3.733259814246761e-05,0.8104847936054497
3.759736834205958e-05,0.80885249519268
3.786213854165155e-05,0.8072114257291851
3.812690874124352e-05,0.8056995214629812
3.8391678940835483e-05,0.8041435994339478
3.8656449140427457e-05,0.8026123561781394
3.892121934001942e-05,0.801065287687592
3.9185989539611396e-05,0.7995034320394491
3.945075973920336e-05,0.7979527993027415
3.971552993879533e-05,0.7964576116935178
3.99803001383873e-05,0.7949577518770236
4.024507033797927e-05,0.7934751818720768
4.0509840537571234e-05,0.791987355016629
4.077461073716321e-05,0.7905576939127293
4.1039380936755174e-05,0.7890749944962743
4.130415113634714e-05,0.787577413627377
