time,n_positive,n_negative,injected_positive,injected_negative,recombination
2.952161213588e-05,8.023562780909e+07,7.179186641558e+07,1.009925318472e+06,1.009925318472e+06,6.152927289791e+04
2.982595865275e-05,8.087426870239e+07,7.226436681701e+07,1.004605809156e+06,1.004605809156e+06,6.233412945298e+04
3.013030516961e-05,8.150491715631e+07,7.272737756275e+07,1.000432152212e+06,1.000432152212e+06,6.312638929088e+04
3.043465168647e-05,8.213843756908e+07,7.319171601313e+07,1.007162577376e+06,1.007162577376e+06,6.392300145460e+04
3.073899820334e-05,8.276955156559e+07,7.365210041136e+07,1.008584145554e+06,1.008584145554e+06,6.471583472297e+04
3.104334472020e-05,8.339175718875e+07,7.410206459924e+07,1.003462196281e+06,1.003462196281e+06,6.549357532019e+04
3.134769123707e-05,8.401636954263e+07,7.455288963651e+07,1.009705880672e+06,1.009705880672e+06,6.627665644179e+04
3.165203775393e-05,8.462930527728e+07,7.499054548619e+07,1.001784381388e+06,1.001784381388e+06,6.703951948789e+04
3.195638427080e-05,8.524598907276e+07,7.543040926837e+07,1.009361547266e+06,1.009361547266e+06,6.780954215691e+04
3.226073078766e-05,8.584758777117e+07,7.585372022311e+07,9.979915442875e+05,9.979915442875e+05,6.855248992972e+04
3.256507730453e-05,8.645276883836e+07,7.627909435188e+07,1.005365975019e+06,1.005365975019e+06,6.929880538001e+04
3.286942382139e-05,8.705071663304e+07,7.669573951327e+07,1.001861376311e+06,1.001861376311e+06,7.003348042886e+04
3.317377033826e-05,8.764484105364e+07,7.710706733311e+07,1.001769109652e+06,1.001769109652e+06,7.076051397850e+04
3.347811685512e-05,8.823567369336e+07,7.751360826452e+07,1.002198956079e+06,1.002198956079e+06,7.147941801128e+04
3.378246337199e-05,8.881759684311e+07,7.790977579207e+07,9.969649868958e+05,9.969649868958e+05,7.217974846661e+04
3.408680988885e-05,8.940262121634e+07,7.830753913143e+07,1.003792522794e+06,1.003792522794e+06,7.288616530750e+04
3.439115640572e-05,8.998245196120e+07,7.869862021072e+07,1.002278596382e+06,1.002278596382e+06,7.358117838985e+04
3.469550292258e-05,9.056356463465e+07,7.908947606001e+07,1.007268705424e+06,1.007268705424e+06,7.427688141920e+04
3.499984943945e-05,9.113383944435e+07,7.946803791354e+07,1.000071724613e+06,1.000071724613e+06,7.495096217544e+04
3.530419595631e-05,9.170115799849e+07,7.984218161447e+07,1.000777645953e+06,1.000777645953e+06,7.561613492736e+04
3.560854247318e-05,9.226845802519e+07,8.021482468045e+07,1.004425329219e+06,1.004425329219e+06,7.628028161047e+04
3.591288899004e-05,9.283560197514e+07,8.058581695527e+07,1.007932252623e+06,1.007932252623e+06,7.694105628537e+04
3.621723550690e-05,9.339575694983e+07,8.094835535074e+07,1.004566258877e+06,1.004566258877e+06,7.758509493278e+04
